timestamp,filepath,label,color,piece,square_name,square_index,h8_path,g8_path
20250826_033455_563143,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/E4_20250826_033455_563143.png,empty,none,empty,E4,35,,
20250826_033457_007892,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/E5_20250826_033457_007892.png,empty,none,empty,E5,36,,
20250826_033458_360412,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/E6_20250826_033458_360412.png,empty,none,empty,E6,37,,
20250826_033459_756696,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/E7_20250826_033459_756696.png,empty,none,empty,E7,38,,
20250826_033501_141724,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/E8_20250826_033501_141724.png,empty,none,empty,E8,39,,
20250826_033506_713645,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/black_bishop/F1_20250826_033506_713645.png,black_bishop,black,B,F1,40,,
20250826_033550_835445,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/white_queen/F2_20250826_033550_835445.png,white_queen,white,Q,F2,41,,
20250826_033552_617884,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/F3_20250826_033552_617884.png,empty,none,empty,F3,42,,
20250826_033558_048316,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/black_knight/F4_20250826_033558_048316.png,black_knight,black,N,F4,43,,
20250826_033559_732898,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/F5_20250826_033559_732898.png,empty,none,empty,F5,44,,
20250826_033603_935765,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/black_pawn/F6_20250826_033603_935765.png,black_pawn,black,P,F6,45,,
20250826_033605_652996,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/F7_20250826_033605_652996.png,empty,none,empty,F7,46,,
20250826_033607_189628,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/F8_20250826_033607_189628.png,empty,none,empty,F8,47,,
20250826_033610_769740,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/black_rook/G1_20250826_033610_769740.png,black_rook,black,R,G1,48,,
20250826_033614_814137,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/white_pawn/G2_20250826_033614_814137.png,white_pawn,white,P,G2,49,,
20250826_033617_389850,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/white_pawn/G3_20250826_033617_389850.png,white_pawn,white,P,G3,50,,
20250826_033619_038804,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/G4_20250826_033619_038804.png,empty,none,empty,G4,51,,
20250826_033621_213193,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/G5_20250826_033621_213193.png,empty,none,empty,G5,52,,
20250826_033622_580278,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/G6_20250826_033622_580278.png,empty,none,empty,G6,53,,
20250826_033624_008763,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/G7_20250826_033624_008763.png,empty,none,empty,G7,54,,
20250826_033625_297765,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/G8_20250826_033625_297765.png,empty,none,empty,G8,55,,
20250826_033628_990787,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/white_pawn/H1_20250826_033628_990787.png,white_pawn,white,P,H1,56,,
20250826_033631_409316,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/white_pawn/H2_20250826_033631_409316.png,white_pawn,white,P,H2,57,,
20250826_033633_528858,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/white_pawn/H3_20250826_033633_528858.png,white_pawn,white,P,H3,58,,
20250826_033637_652988,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/white_rook/H4_20250826_033637_652988.png,white_rook,white,R,H4,59,,
20250826_033640_005584,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/white_knight/H5_20250826_033640_005584.png,white_knight,white,N,H5,60,,
20250826_033641_857259,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/H6_20250826_033641_857259.png,empty,none,empty,H6,61,,
20250826_033910_206086,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/white_pawn/H8_20250826_033910_206086.png,white_pawn,white,P,H8,63,,
20250826_034030_784814,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/white_pawn/A1_20250826_034030_784814.png,white_pawn,white,P,A1,0,,
20250826_034033_626708,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/A2_20250826_034033_626708.png,empty,none,empty,A2,1,,
20250826_034035_321594,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/A3_20250826_034035_321594.png,empty,none,empty,A3,2,,
20250826_034037_390065,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/white_pawn/A4_20250826_034037_390065.png,white_pawn,white,P,A4,3,,
20250826_034038_728047,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/A5_20250826_034038_728047.png,empty,none,empty,A5,4,,
20250826_034040_083604,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/A6_20250826_034040_083604.png,empty,none,empty,A6,5,,
20250826_034041_958532,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/A7_20250826_034041_958532.png,empty,none,empty,A7,6,,
20250826_034049_461891,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/white_pawn/A8_20250826_034049_461891.png,white_pawn,white,P,A8,7,,
20250826_034051_302698,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/B1_20250826_034051_302698.png,empty,none,empty,B1,8,,
20250826_034052_894284,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/B2_20250826_034052_894284.png,empty,none,empty,B2,9,,
20250826_034058_238126,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/black_pawn/B3_20250826_034058_238126.png,black_pawn,black,P,B3,10,,
20250826_034100_371774,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/B4_20250826_034100_371774.png,empty,none,empty,B4,11,,
20250826_034104_035600,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/black_pawn/B5_20250826_034104_035600.png,black_pawn,black,P,B5,12,,
20250826_034106_158659,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/B6_20250826_034106_158659.png,empty,none,empty,B6,13,,
20250826_034111_713242,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/white_pawn/B7_20250826_034111_713242.png,white_pawn,white,P,B7,14,,
20250826_034113_443919,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/B8_20250826_034113_443919.png,empty,none,empty,B8,15,,
20250826_034122_614110,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/black_pawn/C1_20250826_034122_614110.png,black_pawn,black,P,C1,16,,
20250826_034124_338703,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/C2_20250826_034124_338703.png,empty,none,empty,C2,17,,
20250826_034125_777206,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/C3_20250826_034125_777206.png,empty,none,empty,C3,18,,
20250826_034127_010195,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/C4_20250826_034127_010195.png,empty,none,empty,C4,19,,
20250826_034128_209258,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/C5_20250826_034128_209258.png,empty,none,empty,C5,20,,
20250826_034136_697656,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/black_bishop/C6_20250826_034136_697656.png,black_bishop,black,B,C6,21,,
20250826_034142_787615,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/black_king/C7_20250826_034142_787615.png,black_king,black,K,C7,22,,
20250826_034145_644309,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/C8_20250826_034145_644309.png,empty,none,empty,C8,23,,
20250826_034149_540596,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/black_pawn/D1_20250826_034149_540596.png,black_pawn,black,P,D1,24,,
20250826_034152_823061,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/black_knight/D2_20250826_034152_823061.png,black_knight,black,N,D2,25,,
20250826_034155_304641,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/black_pawn/D3_20250826_034155_304641.png,black_pawn,black,P,D3,26,,
20250826_034157_424514,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/black_bishop/D4_20250826_034157_424514.png,black_bishop,black,B,D4,27,,
20250826_034159_350211,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/D5_20250826_034159_350211.png,empty,none,empty,D5,28,,
20250826_034201_076060,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/D6_20250826_034201_076060.png,empty,none,empty,D6,29,,
20250826_034206_329214,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/black_knight/D7_20250826_034206_329214.png,black_knight,black,N,D7,30,,
20250826_034208_075013,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/D8_20250826_034208_075013.png,empty,none,empty,D8,31,,
20250826_034219_687196,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/black_rook/E1_20250826_034219_687196.png,black_rook,black,R,E1,32,,
20250826_034221_246402,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/E2_20250826_034221_246402.png,empty,none,empty,E2,33,,
20250826_034225_685530,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/white_pawn/E3_20250826_034225_685530.png,white_pawn,white,P,E3,34,,
20250826_034228_006209,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/E4_20250826_034228_006209.png,empty,none,empty,E4,35,,
20250826_034230_880428,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/black_pawn/E5_20250826_034230_880428.png,black_pawn,black,P,E5,36,,
20250826_034232_917708,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/E6_20250826_034232_917708.png,empty,none,empty,E6,37,,
20250826_034235_519681,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/white_pawn/E7_20250826_034235_519681.png,white_pawn,white,P,E7,38,,
20250826_034240_851834,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/white_king/E8_20250826_034240_851834.png,white_king,white,K,E8,39,,
20250826_034244_176240,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/black_pawn/F1_20250826_034244_176240.png,black_pawn,black,P,F1,40,,
20250826_034246_201092,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/F2_20250826_034246_201092.png,empty,none,empty,F2,41,,
